START_ID,END_ID,TYPE
obj_4a185a5f,type_568c3ec8,P2_has_type
obj_4a185a5f,type_568c3ec8,P2_has_type
obj_4a185a5f,type_6fc54692,E55
obj_4a185a5f,dim_efa154c5,P43_has_dimension
obj_f8b59ab3,mat_5603db77,P45_consists_of
obj_f8b59ab3,type_568c3ec8,P2_has_type
obj_f8b59ab3,type_568c3ec8,P2_has_type
obj_f8b59ab3,type_aee8c8bf,E55
obj_f8b59ab3,mat_aee8c8bf,P45_consists_of
obj_f8b59ab3,dim_f4f56a42,P43_has_dimension
obj_bb89c9c3,mat_7cd666ec,P45_consists_of
obj_bb89c9c3,type_568c3ec8,P2_has_type
obj_bb89c9c3,type_568c3ec8,P2_has_type
obj_bb89c9c3,type_6fc54692,E55
obj_bb89c9c3,dim_0b684d6b,P43_has_dimension
obj_f9286970,mat_a545c170,P45_consists_of
obj_f9286970,type_1577a542,P2_has_type
obj_f9286970,type_1577a542,P2_has_type
obj_f9286970,type_0038a6ef,E55
obj_f9286970,mat_726b3299,P45_consists_of
obj_f9286970,dim_00f5b0a5,P43_has_dimension
obj_e162f852,mat_93a1cdc4,P45_consists_of
obj_e162f852,type_53793e30,P2_has_type
obj_e162f852,type_53793e30,P2_has_type
obj_e162f852,type_6fc54692,E55
obj_e162f852,dim_282d4b79,P43_has_dimension
obj_468fc9ba,mat_92df81bf,P45_consists_of
obj_468fc9ba,type_53793e30,P2_has_type
obj_468fc9ba,type_53793e30,P2_has_type
obj_468fc9ba,type_6fc54692,E55
