START_ID,END_ID,TYPE
obj_f927ff1b,struct_86bdefd7,P53_has_former_or_current_location
obj_08501986,struct_86bdefd7,P53_has_former_or_current_location
obj_fb1f90e5,struct_a73b94ea,P53_has_former_or_current_location
obj_1701d081,struct_a73b94ea,P53_has_former_or_current_location
obj_0b08d6a7,struct_a73b94ea,P53_has_former_or_current_location
obj_b29a2021,struct_a73b94ea,P53_has_former_or_current_location
obj_a33d9089,struct_a73b94ea,P53_has_former_or_current_location
obj_5a78e776,struct_1edc519d,P53_has_former_or_current_location
obj_1803f093,struct_cd492951,P53_has_former_or_current_location
obj_e4052458,struct_1edc519d,P53_has_former_or_current_location
obj_85877d81,struct_1edc519d,P53_has_former_or_current_location
obj_6b63675c,struct_cd492951,P53_has_former_or_current_location
obj_6c85fe05,struct_cd492951,P53_has_former_or_current_location
obj_db3786ec,struct_1edc519d,P53_has_former_or_current_location
obj_d06f0b6a,struct_cd492951,P53_has_former_or_current_location
obj_88302251,struct_cd492951,P53_has_former_or_current_location
obj_3f3525db,struct_cd492951,P53_has_former_or_current_location
obj_b04e947d,struct_cd492951,P53_has_former_or_current_location
obj_78d4bf81,struct_cd492951,P53_has_former_or_current_location
obj_c5c876a6,struct_1edc519d,P53_has_former_or_current_location
obj_5d267336,struct_1edc519d,P53_has_former_or_current_location
obj_59a8a47f,struct_1edc519d,P53_has_former_or_current_location
obj_8af5574f,struct_7d95e65f,P53_has_former_or_current_location
obj_23603c74,struct_1edc519d,P53_has_former_or_current_location
obj_a61ddafb,struct_1edc519d,P53_has_former_or_current_location
obj_1edc519d,struct_1edc519d,P53_has_former_or_current_location
obj_fd04f306,struct_1edc519d,P53_has_former_or_current_location
obj_edef4b36,struct_1edc519d,P53_has_former_or_current_location
obj_13e31b07,struct_1edc519d,P53_has_former_or_current_location
obj_8d16b7ec,struct_1edc519d,P53_has_former_or_current_location
obj_ab0cfae4,struct_1edc519d,P53_has_former_or_current_location
obj_9d40ebe9,struct_ff71e9c0,P53_has_former_or_current_location
obj_5650e061,struct_ff71e9c0,P53_has_former_or_current_location
obj_0b1e9feb,struct_cac23452,P53_has_former_or_current_location
obj_f06edc03,struct_cac23452,P53_has_former_or_current_location
obj_543af2f6,struct_cac23452,P53_has_former_or_current_location
obj_a7dc731d,struct_1edc519d,P53_has_former_or_current_location
obj_46abadf2,struct_1edc519d,P53_has_former_or_current_location
obj_cba4085b,struct_1edc519d,P53_has_former_or_current_location
obj_437e4ed0,struct_1edc519d,P53_has_former_or_current_location
obj_d5ddb5e4,struct_1edc519d,P53_has_former_or_current_location
obj_fcfa573c,struct_1edc519d,P53_has_former_or_current_location
obj_80703aed,struct_1edc519d,P53_has_former_or_current_location
obj_3adc5058,struct_1edc519d,P53_has_former_or_current_location
obj_1d118a2e,struct_86bdefd7,P53_has_former_or_current_location
obj_98e00be9,struct_86bdefd7,P53_has_former_or_current_location
obj_d72f8f33,struct_86bdefd7,P53_has_former_or_current_location
obj_fb09b316,struct_1edc519d,P53_has_former_or_current_location
obj_ccc31feb,struct_1edc519d,P53_has_former_or_current_location
obj_bfff6fe3,struct_8ad1cfa3,P53_has_former_or_current_location
obj_be716b29,struct_8ad1cfa3,P53_has_former_or_current_location
obj_11f39a77,struct_10970558,P53_has_former_or_current_location
obj_4140045a,struct_8ad1cfa3,P53_has_former_or_current_location
obj_2f3a0883,struct_8ad1cfa3,P53_has_former_or_current_location
obj_38e32153,struct_8ad1cfa3,P53_has_former_or_current_location
obj_ddebde40,struct_10970558,P53_has_former_or_current_location
obj_4cc76a85,struct_8ad1cfa3,P53_has_former_or_current_location
obj_fc4b0e31,struct_10970558,P53_has_former_or_current_location
obj_bc9a4d8a,struct_10970558,P53_has_former_or_current_location
obj_e9c606c8,struct_10970558,P53_has_former_or_current_location
obj_c8f1390e,struct_10970558,P53_has_former_or_current_location
obj_a908e350,struct_10970558,P53_has_former_or_current_location
obj_a810d3e9,struct_8ad1cfa3,P53_has_former_or_current_location
obj_023a0b28,struct_10970558,P53_has_former_or_current_location
obj_c9b68568,struct_8ad1cfa3,P53_has_former_or_current_location
obj_bbd9a6fb,struct_10970558,P53_has_former_or_current_location
obj_1775ea75,struct_8ad1cfa3,P53_has_former_or_current_location
obj_bc061716,struct_10970558,P53_has_former_or_current_location
obj_d941edc8,struct_8ad1cfa3,P53_has_former_or_current_location
obj_e5de478e,struct_10970558,P53_has_former_or_current_location
obj_12d3bdc9,struct_8ad1cfa3,P53_has_former_or_current_location
obj_72a8de4e,struct_8ad1cfa3,P53_has_former_or_current_location
obj_f76590a9,struct_8ad1cfa3,P53_has_former_or_current_location
obj_9dcca411,struct_8ad1cfa3,P53_has_former_or_current_location
obj_78aea0ca,struct_8ad1cfa3,P53_has_former_or_current_location
obj_b86c027c,struct_10970558,P53_has_former_or_current_location
obj_b48474b2,struct_10970558,P53_has_former_or_current_location
obj_6ea3b278,struct_10970558,P53_has_former_or_current_location
obj_e29dd8de,struct_8ad1cfa3,P53_has_former_or_current_location
obj_dee177e9,struct_10970558,P53_has_former_or_current_location
obj_2ceb73e9,struct_10970558,P53_has_former_or_current_location
obj_1b24fedd,struct_10970558,P53_has_former_or_current_location
obj_acbda474,struct_10970558,P53_has_former_or_current_location
obj_5b597c19,struct_10970558,P53_has_former_or_current_location
obj_3ff88b5c,struct_10970558,P53_has_former_or_current_location
obj_69048d8f,struct_10970558,P53_has_former_or_current_location
obj_58f71b2c,struct_8ad1cfa3,P53_has_former_or_current_location
obj_0f78c838,struct_10970558,P53_has_former_or_current_location
obj_7e8cf23a,struct_10970558,P53_has_former_or_current_location
obj_0e9b8f0b,struct_8ad1cfa3,P53_has_former_or_current_location
obj_a6639cc8,struct_10970558,P53_has_former_or_current_location
obj_0a9895f7,struct_10970558,P53_has_former_or_current_location
obj_408fcf90,struct_10970558,P53_has_former_or_current_location
obj_de8a8e9a,struct_10970558,P53_has_former_or_current_location
obj_8c4ecb28,struct_8ad1cfa3,P53_has_former_or_current_location
obj_83ce127b,struct_10970558,P53_has_former_or_current_location
obj_349524ce,struct_8ad1cfa3,P53_has_former_or_current_location
obj_31eac353,struct_10970558,P53_has_former_or_current_location
obj_61b4d47d,struct_10970558,P53_has_former_or_current_location
obj_01f7feb2,struct_8ad1cfa3,P53_has_former_or_current_location
obj_9c45acf6,struct_8ad1cfa3,P53_has_former_or_current_location
obj_27969178,struct_10970558,P53_has_former_or_current_location
obj_8023354e,struct_8ad1cfa3,P53_has_former_or_current_location
obj_117ea8b5,struct_10970558,P53_has_former_or_current_location
obj_8ac857c9,struct_8ad1cfa3,P53_has_former_or_current_location
obj_d5c48247,struct_8ad1cfa3,P53_has_former_or_current_location
obj_80af077c,struct_8ad1cfa3,P53_has_former_or_current_location
obj_63877028,struct_8ad1cfa3,P53_has_former_or_current_location
obj_eec65bd9,struct_10970558,P53_has_former_or_current_location
obj_c930007c,struct_8ad1cfa3,P53_has_former_or_current_location
obj_09f490ff,struct_8ad1cfa3,P53_has_former_or_current_location
obj_f66b22dc,struct_10970558,P53_has_former_or_current_location
obj_de80de44,struct_10970558,P53_has_former_or_current_location
obj_ab3da699,struct_10970558,P53_has_former_or_current_location
obj_803bdabd,struct_8ad1cfa3,P53_has_former_or_current_location
obj_d4ebf503,struct_8ad1cfa3,P53_has_former_or_current_location
obj_f728ffe4,struct_8ad1cfa3,P53_has_former_or_current_location
obj_f8552453,struct_10970558,P53_has_former_or_current_location
obj_114f7bba,struct_8ad1cfa3,P53_has_former_or_current_location
obj_3f64f505,struct_8ad1cfa3,P53_has_former_or_current_location
obj_f22f5cf0,struct_8ad1cfa3,P53_has_former_or_current_location
obj_4fc228b1,struct_10970558,P53_has_former_or_current_location
obj_713860cb,struct_8ad1cfa3,P53_has_former_or_current_location
obj_d4279b6e,struct_10970558,P53_has_former_or_current_location
obj_84ebac80,struct_10970558,P53_has_former_or_current_location
obj_497477da,struct_10970558,P53_has_former_or_current_location
obj_843b0f62,struct_10970558,P53_has_former_or_current_location
obj_7efa67d9,struct_8ad1cfa3,P53_has_former_or_current_location
obj_0bb3c5c4,struct_10970558,P53_has_former_or_current_location
obj_7ed3a910,struct_10970558,P53_has_former_or_current_location
obj_f47777fa,struct_10970558,P53_has_former_or_current_location
obj_08e90dd0,struct_8ad1cfa3,P53_has_former_or_current_location
obj_b44d9522,struct_8ad1cfa3,P53_has_former_or_current_location
obj_ba9b4f5f,struct_10970558,P53_has_former_or_current_location
obj_cfc3415e,struct_10970558,P53_has_former_or_current_location
obj_98020002,struct_10970558,P53_has_former_or_current_location
obj_8611ec7d,struct_10970558,P53_has_former_or_current_location
obj_74f80d37,struct_10970558,P53_has_former_or_current_location
obj_aeea7ecd,struct_10970558,P53_has_former_or_current_location
obj_84bcf135,struct_10970558,P53_has_former_or_current_location
obj_9c9dcb5c,struct_8ad1cfa3,P53_has_former_or_current_location
obj_4e79fd23,struct_8ad1cfa3,P53_has_former_or_current_location
obj_70d96b8a,struct_10970558,P53_has_former_or_current_location
obj_49c83a02,struct_10970558,P53_has_former_or_current_location
obj_a38ee25c,struct_10970558,P53_has_former_or_current_location
obj_55b403d6,struct_8ad1cfa3,P53_has_former_or_current_location
obj_105e8a28,struct_10970558,P53_has_former_or_current_location
obj_653b9592,struct_10970558,P53_has_former_or_current_location
obj_f2a58408,struct_10970558,P53_has_former_or_current_location
obj_3115a153,struct_8ad1cfa3,P53_has_former_or_current_location
obj_3b945aae,struct_8ad1cfa3,P53_has_former_or_current_location
obj_6fa6fd75,struct_8ad1cfa3,P53_has_former_or_current_location
obj_c72442bd,struct_8ad1cfa3,P53_has_former_or_current_location
obj_f081922e,struct_10970558,P53_has_former_or_current_location
obj_c589865e,struct_10970558,P53_has_former_or_current_location
obj_7629af7d,struct_10970558,P53_has_former_or_current_location
obj_4a9d43f5,struct_8ad1cfa3,P53_has_former_or_current_location
obj_840fd06f,struct_10970558,P53_has_former_or_current_location
obj_48653a0a,struct_10970558,P53_has_former_or_current_location
obj_47a4ad31,struct_8ad1cfa3,P53_has_former_or_current_location
obj_01cc52e5,struct_8ad1cfa3,P53_has_former_or_current_location
obj_cb06b30e,struct_10970558,P53_has_former_or_current_location
obj_1e6d3110,struct_10970558,P53_has_former_or_current_location
