事物类型,"文化特征单元 CAU
（Culture Attributes Unit）",CAU ID,文化特征单元定义（CAU Definition）,一级指标,二级指标,三级指标,值类型,索引/主键,抽取值字典/定义,原文描述/术语示例,原文描述转写示例,
人造单元,考古单元名称,,,人造单元名称,\,\,文本,,"填入该人造单元描述中的名称（原文）
if 没有相关内容，填入人造单元编码
*此项必须具备值",,,
,,,,人造单元编码,\,\,文本,是,"填入人造单元描述中的标准化编码
*此项必须具备值",如：M12、十二号墓、12号墓坑等,,
,考古单元子区域归属,SiteSubAreaAttribution,墓葬归属于遗址内子区域,子区域名称,\,\,文本,是,"填入子区域描述中的子区域名称（原文）area_name
if 没有相关内容，填入子区域唯一编码
else if 子区域唯一编码为null，填入null",,,有cidoc关系定义
,,,,子区域唯一编码,\,\,文本,是,"填入子区域描述中的标准化编码 area_code
if 没有相关内容，填入null
（有些人造单元不属于子区域，而是直接归属到遗址，所以不必须有值）",如：Area A，T105,,
,原位遗迹实体,HumanMadeFeature,人类活动形成、并且不可在不破坏其整体性的情况下被移动的空间性特征,遗址名称,\,\,文本,是,"出土的遗址名称
*此项必须具备值",盘龙山一期、反山遗址,,
,制作年代,ProductionDate,器物的制作时期；所处的文化时期和文化期别，或朝代及朝代的期别；以及更细节的遗址分期,年代类型（Chronology Type）,\,\,属性族,,"C1：绝对年代 Absolute date
C2：相对年代 Relative date
C3：年代区段 Chronological phase",事物对应的制作时间跨度、绝对年代、相对年代、年代区段、,,
,,,,,C1：绝对年代 Absolute date,\,文本,,"该期别的绝对年代范围，描述可为“公元xxx；距今xxx”；包括：
date_value	数值（整数）
date_unit BCE / CE / BP
date_calibration Cal / Uncal
date_error ± 年数
如果没有相关描述即为：null","2800 BCE ± 50
4300±40 BP (Cal)
",,
,,,,,C2：相对年代 Relative date,\,文本,,"文化时期/期别和朝代/朝代期别，是同级别的概念，在夏朝之前没有朝代的命名，可能使用文化指称；夏朝之后用朝代指称，e.g.在夏朝之前的龙山文化，处于新石器时代晚期，用龙山文化指称。填写时可包括下述信息：
ultural_period 考古学文化（e.g. 龙山文化）
phase	期别（e.g. 龙山文化晚期）
如果没有相关描述即为：null","仰韶文化中期
龙山文化晚期
夏朝、商朝",,
,,,,,C3：年代区段 Chronological phase,\,文本,,"填写遗址分期，遗址分期为人工划定，分期的依据主要是以器物相似性等划分。例如盘龙城遗址有多期，单一期数可能对应不同文化/朝代（C2：相对年代），也可能不一定能找到对应文化/朝代信息。填写时可包括下述信息：
chronological_label，如：“盘龙城一期”
如果没有相关描述即为：null",,,
