id:ID,:LABEL,location,name,type
Site_1,E27_Site,浙江余杭县,反山,墓地
Site_2,E27_Site,浙江省余杭市,文家山,墓地
Site_3,E27_Site,浙江省余杭市,瑶山,良渚文化墓葬
Site_4,E27_Site,浙江省,卞家山,良渚文化遗址
Site_5,E27_Site,浙江省,庙前遗址,良渚文化遗址
Site_6,E27_Site,,盘龙城,墓地
Site_7,E27_Site,湖北省天门市石家河古城西北角,邓家湾,宗教活动场所
