id:ID,:LABEL,metric,value
E54_量度_Artifact_玉器_37_量度信息,E54_量度,量度信息,"直径12~12.2厘米，厚1.6~2厘米，孔外径5.3厘米，内径5.1厘米 |  | {'diameter': 12.0, 'hole_diameter': 5.3, 'thickness_center': 1.9, 'thickness_edge_min': 1.4, 'thickness_edge_max': 1.8} | {'diameter': 11, 'hole_diameter': 5.5, 'thickness_center': 1.8, 'thickness_edge': 1.6}"
E54_量度_Artifact_玉器_38_量度信息,E54_量度,量度信息,高2.9厘米，直径约8.7厘米，孔外径约6~6.3厘米，孔内径5.7厘米
E54_量度_Artifact_玉器_39_量度信息,E54_量度,量度信息,通高7.9厘米，榫头长1.7厘米，穿孔内径约0.2厘米，端面直径1.72~3.12厘米 |  | {'height': 7.9}
E54_量度_Artifact_玉器_40_量度信息,E54_量度,量度信息,通高7.96厘米，榫头长1.7厘米，穿孔内径0.2厘米，端面直径1.45~3.14厘米 |  | {'height': 7.9}
E54_量度_Artifact_玉器_41_量度信息,E54_量度,量度信息,通长21.8厘米，宽1.82~2厘米，厚0.5~0.6厘米
E54_量度_Artifact_玉器_42_量度信息,E54_量度,量度信息,高3.25厘米，端面直径4.07~4.15厘米，另面直径3.5~3.6厘米，管钻外径端面2.2厘米，另面2.3厘米，内径约1.9厘米
E54_量度_Artifact_玉器_43_量度信息,E54_量度,量度信息,高0.6厘米，最大直径0.8厘米
E54_量度_Artifact_玉器_44_量度信息,E54_量度,量度信息,高1.38厘米，榫头长约0.35厘米 |  | {'height': 1.3}
E54_量度_Artifact_玉器_45_量度信息,E54_量度,量度信息,最大直径约2.3厘米，厚约1厘米
E54_量度_Artifact_玉器_46_量度信息,E54_量度,量度信息,通高3.4厘米，端面直径4.7厘米，卯孔面直径3.6厘米，卯孔外径约1.7厘米，深1.9厘米
E54_量度_Artifact_玉器_47_量度信息,E54_量度,量度信息,"高2.9厘米，宽10.45厘米，厚0.51厘米，卯孔深约0.4厘米 | 圆形玉片直径8.7~8.8厘米，厚0.2~0.9厘米；外廓一周朱痕，宽约2.5厘米 | {'height': 2.9, 'width': 0.5}"
E54_量度_Artifact_玉器_48_量度信息,E54_量度,量度信息,通高2.45厘米，上射径0.97~1厘米，下射径1厘米，孔外径0.45厘米，孔内径0.1厘米
E54_量度_Artifact_玉器_49_量度信息,E54_量度,量度信息,通高2.48厘米，射径0.9~0.95厘米
E54_量度_Artifact_玉器_50_量度信息,E54_量度,量度信息,通高2.5厘米，射径 0.82~0.95 厘米，孔外径0.5、孔内径0.2厘米
E54_量度_Artifact_玉器_51_量度信息,E54_量度,量度信息,"通高 2.55 厘米, 射径 1.05~1.1 厘米, 孔外径 0.45、孔内径约 0.3 厘米"
E54_量度_Artifact_玉器_52_量度信息,E54_量度,量度信息," | {'length': 2.75, 'width': 1.0, 'thickness': None, 'height': 2.75, 'diameter': 1.0, 'hole_diameter': 0.5, 'weight': None}"
E54_量度_Artifact_玉器_53_量度信息,E54_量度,量度信息," | {'length': 2.65, 'width': 1.05, 'thickness': None, 'height': 2.65, 'diameter': 1.05, 'hole_diameter': 0.55, 'weight': None}"
E54_量度_Artifact_玉器_54_量度信息,E54_量度,量度信息,长 2.4~2.7、直径 1.25~1.3 厘米
