id:ID,:LABEL,name
E55_Type_ff9018a0a4,E55_Type,细泥条编织纹
E55_Type_05aa1e20c6,E55_Type,布纹麻布印痕
E55_Type_af400525bb,E55_Type,细泥条麻花状编织纹
E55_Type_657fe76b73,E55_Type,塞痕及麻布印痕
E55_Type_01efd41b00,E55_Type,细泥条麻花状拼贴
E55_Type_d9bc183c2b,E55_Type,麻布印痕
E55_Type_cdcf842070,E55_Type,截点纹
E55_Type_a808fc3a55,E55_Type,鹊划纹
E55_Type_59d0ee9945,E55_Type,鹍划纹
E55_Type_c1c490ebe7,E55_Type,附加堆纹和半圆截纹
E55_Type_a76e30d5c7,E55_Type,同心圆圈纹
E55_Type_103825dd52,E55_Type,纵向平行划纹
E55_Type_12215cf96e,E55_Type,叶脉形交错刻划纹
E55_Type_5ebf1696ba,E55_Type,划纹和戳点纹
E55_Type_c4b619a74e,E55_Type,划纹
E55_Type_047781bbff,E55_Type,楔形戳点纹
E55_Type_f965216e2a,E55_Type,圆形凹点
E55_Type_221bb82dfa,E55_Type,纵向短直槽
E55_Type_157a97f728,E55_Type,叉形刻符
E55_Type_0368eb3062,E55_Type,"凹旋纹, 凸弦纹, 扁方形镂孔"
E55_Type_712c18ba48,E55_Type,"旋纹, 凸弦纹, 扁方形镂孔"
E55_Type_a3a562cb03,E55_Type,"凹旋纹, 镂孔"
E55_Type_f1d230538b,E55_Type,"凸弦纹, 镂孔"
E55_Type_4380df2642,E55_Type,窄梯形弦纹
E55_Type_b9a5075216,E55_Type,"凹旋纹, 扁方镂孔"
E55_Type_c355c0978c,E55_Type,"凹旋纹, 扁圆镂孔"
E55_Type_49cd398a86,E55_Type,"圆形镂孔, 菱形弧线夹圆圈的戳印纹"
E55_Type_21486dc18b,E55_Type,A型
E55_Type_b43abadbd0,E55_Type,细弦纹
E55_Type_ec31d7e047,E55_Type,“3”字形符号
E55_Type_c092b39494,E55_Type,B型
E55_Type_275bf2bc15,E55_Type,细凸弦纹
E55_Type_f4d6686509,E55_Type,网格线、禽类的身子
E55_Type_c385ee9e87,E55_Type,变形鸟纹
E55_Type_a150dfb462,E55_Type,附加堆纹
E55_Type_45d20e57ef,E55_Type,戳点纹饰和符号
E55_Type_fa7cd28cf0,E55_Type,"戳点纹, 细弦纹"
E55_Type_75c9aef0be,E55_Type,"戳点纹, 粗凸弦纹, 细凹旋纹, “T” 字形刻划符号"
E55_Type_bc596f37c4,E55_Type,"截点纹, 凹旋纹"
E55_Type_65298ddeea,E55_Type,"戳点纹, 双细凹旋纹"
E55_Type_1bc777a7a5,E55_Type,"水波纹戳点纹, 凸弦纹, 细密旋纹"
E55_Type_ff7e94852d,E55_Type,"戳点纹, 凸弦纹"
E55_Type_acb6e8fdc8,E55_Type,"戳点纹, 附加堆纹"
E55_Type_6edb309d32,E55_Type,I式
E55_Type_939e162cbe,E55_Type,Ⅱ式
E55_Type_e97aac8b8e,E55_Type,Ⅲ式
E55_Type_b8faa21450,E55_Type,IV式
