id:ID,:LABEL,name
E57_Material_Artifact_陶器_1496_掺杂物,E57_Material,夹砂
E57_Material_Artifact_陶器_1507_掺杂物,E57_Material,蚌
E57_Material_Artifact_陶器_1508_掺杂物,E57_Material,炭
E57_Material_Artifact_陶器_1510_掺杂物,E57_Material,蚌
E57_Material_Artifact_陶器_1521_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1522_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1523_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1524_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1525_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1526_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1527_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1528_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1529_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1530_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1531_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1532_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1533_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1534_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1535_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1536_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1537_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1538_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1539_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1540_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1541_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1542_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1543_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1544_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1545_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1546_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1547_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1548_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1549_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1550_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1551_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1552_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1553_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1554_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1555_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1556_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1615_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1634_掺杂物,E57_Material,夹砂
E57_Material_Artifact_陶器_1686_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1687_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1692_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1693_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1694_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1695_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1696_掺杂物,E57_Material,砂
E57_Material_Artifact_陶器_1723_掺杂物,E57_Material,夹砂
E57_Material_Artifact_陶器_1745_掺杂物,E57_Material,蚌
