,,
obj_bc6a854b,type_49823b10,P2_has_type
obj_bc6a854b,mat_5f6dfeb7,P45_consists_of
obj_40158645,type_49823b10,P2_has_type
obj_40158645,type_0f3aa26a,P2_has_type
obj_40158645,mat_5f6dfeb7,P45_consists_of
obj_0d1ff9f8,type_940e72a7,P2_has_type
obj_0d1ff9f8,type_520b2f70,P2_has_type
obj_0d1ff9f8,mat_bf5d86f9,P45_consists_of
obj_4f3f5d7b,type_21427cf5,P2_has_type
obj_4f3f5d7b,mat_aa1d50ef,P45_consists_of
obj_263a642d,type_940e72a7,P2_has_type
obj_86575ed4,type_b712c9ad,P2_has_type
obj_c74ed280,type_49823b10,P2_has_type
obj_d350f13f,type_940e72a7,P2_has_type
obj_d350f13f,type_7889e301,P2_has_type
obj_d350f13f,mat_48d374b7,P45_consists_of
obj_e375b534,type_b712c9ad,P2_has_type
obj_e375b534,mat_48d374b7,P45_consists_of
obj_ffdc5992,type_49823b10,P2_has_type
obj_ffdc5992,type_2419889e,P2_has_type
obj_ffdc5992,mat_5d640c38,P45_consists_of
obj_77c00240,type_4334fc53,P2_has_type
obj_77c00240,type_781dfb1f,P2_has_type
obj_77c00240,mat_bb7533b2,P45_consists_of
obj_114acdf3,type_ff4efcaf,P2_has_type
obj_114acdf3,type_d9fee6ba,P2_has_type
obj_114acdf3,mat_5f6dfeb7,P45_consists_of
obj_de80f73c,type_c6a59806,P2_has_type
obj_de80f73c,mat_bb7533b2,P45_consists_of
obj_1cf69c8f,type_49823b10,P2_has_type
obj_1cf69c8f,mat_92df81bf,P45_consists_of
obj_8bdec351,type_f7de1d81,P2_has_type
obj_8bdec351,type_c94a2c8f,P2_has_type
obj_8bdec351,mat_2c2cf701,P45_consists_of
obj_038236eb,type_3e3ead1a,P2_has_type
obj_038236eb,mat_92df81bf,P45_consists_of
obj_c39a55e6,type_940e72a7,P2_has_type
obj_c39a55e6,mat_000e0325,P45_consists_of
obj_a7bb0421,type_49823b10,P2_has_type
obj_a7bb0421,mat_5d640c38,P45_consists_of
obj_bd04a58b,type_ff5ad7e1,P2_has_type
obj_bd04a58b,mat_000e0325,P45_consists_of
obj_1265086a,type_940e72a7,P2_has_type
obj_1265086a,mat_000e0325,P45_consists_of
obj_016fa9ea,type_49823b10,P2_has_type
obj_016fa9ea,mat_5d640c38,P45_consists_of
obj_598b0074,type_940e72a7,P2_has_type
obj_598b0074,mat_76a99318,P45_consists_of
obj_ccdcaacc,type_49823b10,P2_has_type
obj_ccdcaacc,mat_92df81bf,P45_consists_of
obj_2e04861d,type_ff5ad7e1,P2_has_type
obj_2e04861d,mat_000e0325,P45_consists_of
obj_6fbd683e,type_f7de1d81,P2_has_type
obj_6fbd683e,mat_2c2cf701,P45_consists_of
obj_343aaa04,type_3485cee2,P2_has_type
obj_343aaa04,type_2908fff6,P2_has_type
obj_343aaa04,mat_5d640c38,P45_consists_of
obj_57b4e64d,mat_000e0325,P45_consists_of
obj_8c8e2fd7,type_7a56b4ea,P2_has_type
obj_8c8e2fd7,mat_7e888ffb,P45_consists_of
obj_43747696,type_940e72a7,P2_has_type
obj_43747696,mat_76a99318,P45_consists_of
obj_3f798496,type_f7de1d81,P2_has_type
obj_3f798496,type_8426ccc6,P2_has_type
obj_3f798496,mat_3357c26d,P45_consists_of
obj_b0d87b6e,mat_92df81bf,P45_consists_of
obj_56d6779f,type_697755e7,P2_has_type
obj_56d6779f,mat_e03df801,P45_consists_of
obj_38df3438,type_940e72a7,P2_has_type
obj_38df3438,mat_76a99318,P45_consists_of
obj_f61c843e,type_49823b10,P2_has_type
obj_f61c843e,type_f2df3f41,P2_has_type
obj_f61c843e,mat_5d640c38,P45_consists_of
obj_b43be44e,mat_858ed3e5,P45_consists_of
obj_63480ba8,type_49823b10,P2_has_type
obj_63480ba8,mat_e7c6f48a,P45_consists_of
obj_05e632e6,type_53aae0fe,P2_has_type
obj_05e632e6,mat_8d6727fc,P45_consists_of
obj_d2cf09df,type_940e72a7,P2_has_type
