id,name,category,height,
obj_c9ea595e,M14:251,Pottery,2.0,E22_Man_Made_Object
obj_79bc4082,M14:111,Pottery,2.0,E22_Man_Made_Object
obj_2539d721,M14:112,Pottery,2.45,E22_Man_Made_Object
obj_5b35aeb8,M14:115,Pottery,3.0,E22_Man_Made_Object
obj_a1286030,M14:116,Pottery,,E22_Man_Made_Object
obj_f0a3ba2a,M14:119,Pottery,1.8,E22_Man_Made_Object
obj_3d37b336,M14:120,Pottery,1.85,E22_Man_Made_Object
obj_40467d01,M14:124,Pottery,2.15,E22_Man_Made_Object
obj_d663a22a,M14:130,Pottery,1.85,E22_Man_Made_Object
obj_b592d9f8,M14:131,Pottery,1.8,E22_Man_Made_Object
obj_d23ca070,M14:154,Pottery,2.2,E22_Man_Made_Object
obj_787c63c9,M14:155,Pottery,3.65,E22_Man_Made_Object
obj_438ffdc4,M14:156,Pottery,2.05,E22_Man_Made_Object
obj_831923ae,M14:192,Pottery,1.5,E22_Man_Made_Object
obj_e3d7a1e4,M14:193,Pottery,1.0,E22_Man_Made_Object
obj_0122d559,M14:194,Pottery,2.05,E22_Man_Made_Object
obj_bb3a9d7a,M14:196,Pottery,,E22_Man_Made_Object
obj_39c5c9b6,M14:198,Pottery,2.1,E22_Man_Made_Object
obj_da36b3ed,M14:215,Pottery,1.4,E22_Man_Made_Object
obj_6e2da600,M14:252,Pottery,2.3,E22_Man_Made_Object
obj_2fd23a4a,M14:253,Pottery,1.3,E22_Man_Made_Object
obj_a09cf9a0,M14:257,Pottery,1.9,E22_Man_Made_Object
obj_3cf61f65,M14:258,Pottery,1.7,E22_Man_Made_Object
obj_58c5d67e,M14:260,Pottery,0.9,E22_Man_Made_Object
obj_f3a1572c,M14:220-1,Pottery,1.3,E22_Man_Made_Object
obj_39af3703,M14:220-2,Pottery,1.1,E22_Man_Made_Object
obj_07b72401,M14:76,Pottery,,E22_Man_Made_Object
obj_4b456e0e,76,Pottery,,E22_Man_Made_Object
obj_3a67297d,M15:41,Pottery,,E22_Man_Made_Object
obj_1d2ae8b5,M15:43,Pottery,,E22_Man_Made_Object
obj_bd4b2529,M15:44,Pottery,,E22_Man_Made_Object
obj_ddd58dc5,41,Pottery,,E22_Man_Made_Object
obj_6ec1cbf0,42,Pottery,,E22_Man_Made_Object
obj_34b435e0,43,Pottery,,E22_Man_Made_Object
obj_d55b568f,44,Pottery,,E22_Man_Made_Object
obj_c37119a6,100,Pottery,,E22_Man_Made_Object
obj_f2a9f74b,101,Pottery,,E22_Man_Made_Object
obj_f5e07a8f,102,Pottery,,E22_Man_Made_Object
obj_0d0a2087,103,Pottery,,E22_Man_Made_Object
obj_b43884c2,M16:103,Pottery,,E22_Man_Made_Object
obj_50e6af77,M16:102,Pottery,,E22_Man_Made_Object
obj_fb35e3eb,M16:101,Pottery,,E22_Man_Made_Object
obj_ea829db7,M16:100,Pottery,,E22_Man_Made_Object
obj_a37d0a60,M17:48,Pottery,,E22_Man_Made_Object
obj_f726c610,M17:58,Pottery,12.2,E22_Man_Made_Object
obj_a547c0a1,M17:59,Pottery,,E22_Man_Made_Object
obj_9dc77793,48,Pottery,,E22_Man_Made_Object
obj_91f471e2,58,Pottery,,E22_Man_Made_Object
obj_b83e3be4,59,Pottery,,E22_Man_Made_Object
obj_970665c4,M18:39,Pottery,,E22_Man_Made_Object
obj_d6aaf7fa,M18:40,Pottery,,E22_Man_Made_Object
obj_ca7674ac,M18:41,Pottery,,E22_Man_Made_Object
obj_536b3b95,39,Pottery,,E22_Man_Made_Object
